,total,paid_total,balance,breakdowns_labor_0_hours,breakdowns_labor_0_rate,breakdowns_material_0_rate,Slug,Total,Labor0Breakdown_quantity0total0,Labor0Breakdown_hourstotal,Labor0Breakdown_ratetotal,target
214,15550.0,15550.0,0.0,0.0,0.0,0.0,538.0,15550.0,0.0,0.0,0.0,0
215,2660.0,2660.0,0.0,0.0,0.0,0.0,539.0,2660.0,0.0,0.0,0.0,0
216,-38040.0,-38040.0,0.0,0.0,0.0,0.0,540.0,-38040.0,0.0,0.0,0.0,0
217,27000.0,27000.0,0.0,0.0,0.0,0.0,541.0,27000.0,0.0,0.0,0.0,0
218,-2470.0,-2470.0,0.0,0.0,0.0,0.0,549.0,-2470.0,0.0,0.0,0.0,0
219,11985.0,11985.0,0.0,0.0,0.0,0.0,551.0,11985.0,0.0,0.0,0.0,0
220,80000.0,80000.0,0.0,0.0,0.0,0.0,554.0,80000.0,0.0,0.0,0.0,0
222,5580.0,5580.0,0.0,0.0,0.0,0.0,559.0,5580.0,0.0,0.0,0.0,0
223,4500.0,4500.0,0.0,0.0,0.0,0.0,563.0,4500.0,2.0,18.0,325.0,0
224,5120.0,5120.0,0.0,0.0,0.0,0.0,564.0,5120.0,0.0,0.0,0.0,0
225,2648.0,2648.0,0.0,0.0,0.0,0.0,565.0,2648.0,0.0,0.0,0.0,0
226,2100.0,2100.0,0.0,0.0,0.0,0.0,569.0,2100.0,0.0,0.0,0.0,0
227,4500.0,4500.0,0.0,0.0,0.0,0.0,572.0,4500.0,0.0,0.0,0.0,0
249,245000.0,245000.0,0.0,0.0,0.0,0.0,601.0,245000.0,0.0,0.0,0.0,0
250,1040.0,1040.0,0.0,0.0,0.0,0.0,602.0,1040.0,0.0,0.0,0.0,0
251,2610.0,2610.0,0.0,0.0,0.0,0.0,603.0,2610.0,0.0,0.0,0.0,0
252,1320.0,1320.0,0.0,0.0,0.0,0.0,604.0,1320.0,0.0,0.0,0.0,0
253,-6666.0,-6666.0,0.0,0.0,0.0,0.0,614.0,-6666.0,0.0,0.0,0.0,0
254,0.0,6860.0,-6860.0,0.0,0.0,0.0,623.0,6860.0,0.0,0.0,0.0,0
255,13400.0,13400.0,0.0,0.0,0.0,0.0,629.0,13400.0,0.0,0.0,0.0,0
256,6000.0,6000.0,0.0,0.0,0.0,0.0,631.0,6000.0,0.0,0.0,0.0,0
257,0.0,14740.0,-14740.0,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,0
258,-9000.0,-9000.0,0.0,0.0,0.0,0.0,643.0,-9000.0,0.0,0.0,0.0,0
261,0.0,17080.0,-17080.0,0.0,0.0,0.0,658.0,0.0,0.0,0.0,0.0,0
262,13640.0,13640.0,0.0,0.0,0.0,0.0,665.0,13640.0,0.0,0.0,0.0,0
263,14660.0,14660.0,0.0,0.0,0.0,0.0,666.0,14660.0,0.0,0.0,0.0,0
264,3420.0,3420.0,0.0,0.0,0.0,0.0,670.0,3420.0,0.0,0.0,0.0,0
268,10800.0,10800.0,0.0,0.0,0.0,0.0,677.0,10800.0,0.0,0.0,0.0,0
269,0.0,8909.0,-8909.0,0.0,0.0,0.0,687.0,0.0,0.0,0.0,0.0,0
